url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/residence/for-sale/1560/hoeilaart/rbu55449,rbu55449,320 000 €,Normal,On contract,3,153 m²,No,Yes,Yes,1,,,1,,2,Gas,,No,4,No,,Yes,10 m²,87 m²,
https://immovlan.be/en/detail/commercial-building/for-sale/1480/tubize/vbd20550,vbd20550,145 000 €,Excellent,On contract,,,,Yes,,,,,,,1,,Double glass,No,,,,,,290 m²,
https://immovlan.be/en/detail/residence/for-sale/4460/grace-hollogne/vbd49836,vbd49836,649 000 €,Excellent,,3,425 m²,,Yes,,,,,2,,,,Double glass,No,3,Yes,404 m²,Yes,115 m²,912 m²,Yes
https://immovlan.be/en/detail/residence/for-sale/7911/hacquegnies/vbd47883,vbd47883,595 000 €,To be renovated,,6,570 m²,No,Yes,Yes,1,,,2,,,Fuel oil,,No,4,Yes,,Yes,,3167 m²,
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu66765,rbu66765,999 999 €,New,Immediately,1,66 m²,No,,,,,,1,,1,,,Yes,2,No,,Yes,11 m²,,
https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbc87693,vbc87693,410 000 €,,,3,95 m²,No,,,,Not equipped,,1,,1,,,No,,No,,Yes,,,
https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd37064,vbd37064,695 000 €,New,,2,110 m²,No,,Yes,,Super equipped,,1,1,2,Hot air,Double glass,Yes,2,Yes,,Yes,25 m²,,No
https://immovlan.be/en/detail/residence/for-sale/6900/marche-en-famenne/vbb18054,vbb18054,385 000 €,New,From 15/05/2026,3,201 m²,No,Yes,,,Not equipped,,,1,,Not specified,,No,,No,,Yes,,671 m²,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63058,rbu63058,300 000 €,New,,2,87 m²,No,,Yes,,Super equipped,,1,,1,Hot air,Double glass,Yes,,,,Yes,15 m²,,
https://immovlan.be/en/detail/residence/for-sale/5555/bievre/vbd35345,vbd35345,190 000 €,To renovate,On contract,3,222 m²,No,Yes,Yes,2,,Independent,1,,2,Fuel oil,,No,3,Yes,800 m²,No,,956 m²,No
https://immovlan.be/en/detail/commercial-building/for-sale/1050/elsene/vbd45734,vbd45734,970 000 €,Excellent,,,,,,,,,,,,,,Double glass,No,,,,,,555 m²,
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd44152,vbd44152,465 000 €,,On contract,3,165 m²,,Yes,Yes,1,Fully equipped,Western kitchen,2,1,2,Gas,Double glass,,2,Yes,,Yes,,195 m²,
https://immovlan.be/en/detail/mixed-building/for-sale/1050/elsene/vbd49062,vbd49062,870 000 €,To be renovated,On contract,4,280 m²,No,,,,Fully equipped,Western kitchen,2,2,3,Fuel oil,Double glass,No,2,Yes,75 m²,Yes,12 m²,160 m²,No
https://immovlan.be/en/detail/apartment/for-sale/2840/rumst/rbu62601,rbu62601,354 900 €,,,2,104 m²,,,,,,,1,,1,,,,,No,,Yes,32 m²,,
https://immovlan.be/en/detail/apartment/for-sale/6460/chimay/vbc69796,vbc69796,399 900 €,,,3,151 m²,No,,,,,,2,,,,,,2,Yes,90 m²,Yes,17 m²,,
https://immovlan.be/en/detail/land/for-sale/6700/heinsch/vbd44536,vbd44536,165 000 €,,On contract,,,,,,,,,,,,,,,,,,,,1524 m²,
